# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9734
#@/user_id	xgh-macpro
a 	啊	c=106 d=2.39047 t=9734
a 	阿	c=1 d=3.22364e-06 t=9734
a a a 	啊啊啊	c=1 d=1.02319e-05 t=9734
a cao 	啊草	c=1 d=1.81488e-12 t=9734
a huan 	阿歡	c=1 d=1.61273e-05 t=9734
a li 	阿里	c=1 d=1.11147e-08 t=9734
ai 	唉	c=5 d=0.000665831 t=9734
ai 	愛	c=3 d=1.60998e-11 t=9734
ai qing 	愛情	c=1 d=0.0689068 t=9734
an 	按	c=6 d=0.0694196 t=9734
an de 	安德	c=1 d=0.00759701 t=9734
an ni 	按你	c=1 d=8.48471e-09 t=9734
an niu 	按鈕	c=4 d=0.261368 t=9734
an pai 	安排	c=1 d=1.28534e-12 t=9734
an quan 	安全	c=8 d=0.657047 t=9734
an wei cao zuo 	按位操作	c=1 d=0.697676 t=9734
an zhuang 	安裝	c=10 d=0.0552967 t=9734
an zhuo 	安卓	c=9 d=0.0159365 t=9734
ang 	昂	c=6 d=0.00067779 t=9734
ao 	奧	c=4 d=0.00066251 t=9734
ao si ka 	奧斯卡	c=1 d=8.80668e-06 t=9734
ba 	吧	c=36 d=0.553879 t=9734
ba 	把	c=13 d=0.470996 t=9734
ba mei 	把妹	c=1 d=0.362402 t=9734
ba ren 	把人	c=1 d=1.09191e-05 t=9734
bai du 	百度	c=5 d=0.0140266 t=9734
bai du di tu 	百度地圖	c=2 d=0.0126512 t=9734
bai xiao 	白小	c=0 d=7.2103e-07 t=9734
bai xiao fei 	白小飛	c=1 d=7.24644e-06 t=9734
ban 	半	c=3 d=1.49348e-13 t=9734
ban 	板	c=1 d=4.44087e-10 t=9734
ban 	版	c=5 d=0.106812 t=9734
ban 	班	c=5 d=0.565532 t=9734
ban 	辦	c=2 d=9.26448e-05 t=9734
ban ben 	版本	c=8 d=0.532591 t=9734
ban fa 	辦法	c=1 d=7.25138e-14 t=9734
ban gong 	辦公	c=1 d=4.5769e-12 t=9734
ban jia 	搬家	c=1 d=3.26613e-13 t=9734
ban li 	辦理	c=2 d=0.0122585 t=9734
ban si 	半死	c=1 d=2.87442e-10 t=9734
ban tian 	半天	c=1 d=0.379083 t=9734
ban yun gong 	搬運工	c=1 d=5.05911e-14 t=9734
ban zhang 	班長	c=3 d=0.0713613 t=9734
ban zhe 	半折	c=1 d=4.64607e-12 t=9734
bang 	邦	c=1 d=7.89067e-08 t=9734
bang dai 	棒呆	c=1 d=9.97927e-06 t=9734
bang ding 	綁定	c=1 d=0.000992778 t=9734
bang wo 	幫我	c=1 d=2.44268e-07 t=9734
bang yun 	榜運	c=0 d=0.00658748 t=9734
bang yun gong 	榜運共	c=1 d=0.0662049 t=9734
bang zhu 	幫助	c=0 d=0.000302756 t=9734
bang zhu wo 	幫助我	c=1 d=0.00304273 t=9734
bao 	包	c=3 d=0.0108347 t=9734
bao 	報	c=3 d=0.0057059 t=9734
bao 	寶	c=1 d=0.00782837 t=9734
bao cun 	保存	c=2 d=0.0110536 t=9734
bao cuo 	報錯	c=4 d=0.00616503 t=9734
bao dao 	報道	c=1 d=3.31493e-11 t=9734
bao guo 	包裹	c=2 d=0.00415498 t=9734
bao han 	包含	c=1 d=1.52668e-07 t=9734
bao he 	飽和	c=1 d=2.21557e-06 t=9734
bao hu hao 	保護好	c=1 d=3.06006e-11 t=9734
bao li 	暴力	c=1 d=3.8514e-11 t=9734
bao liu 	保留	c=1 d=0.0893674 t=9734
bao qian 	抱歉	c=2 d=0.0199755 t=9734
bao xian 	保險	c=1 d=3.22474e-10 t=9734
bao zou 	暴走	c=1 d=5.56141e-10 t=9734
bei 	卑	c=0 d=0.000791219 t=9734
bei 	唄	c=3 d=2.27896e-06 t=9734
bei 	背	c=2 d=0.51894 t=9734
bei 	被	c=19 d=0.323009 t=9734
bei bao 	背包	c=1 d=2.69444e-14 t=9734
bei er 	貝爾	c=0 d=0.00187793 t=9734
bei er jia 	貝爾加	c=1 d=0.0188734 t=9734
